,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
25,Usa ferramentas de ciências de dados para o suporte a investigações criminais,"['CADG', 'STIC']",CADG,2
0,Apoia os CAOs e grupos,"['CADG', 'CADG', 'GATE', 'CSI']",STIC,4
1,Avalia fluxos e processos,"['CADG', 'STIC', 'IEP', 'INOVA']",STIC,4
2,Coleta dados da atuação institucional,['CADG'],STIC,1
3,"Coleta, trata, guarda e disponibiliza dados internos e externos",['STIC'],STIC,1
4,Contribuição para a eleição de prioridades de atuação do MPRJ,['GATE'],STIC,1
5,Desenvolve aplicações a partir da análise de dados internos e externos,"['CENPE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP']",STIC,6
6,Desenvolve e gerencia plataformas de divulgação de informações de interesse social,"['STIC', 'STIC']",STIC,2
7,Desenvolve sistemas a partir da análise de dados externos e internos,"['CADG', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA']",STIC,8
8,Desenvolve sistemas de tecnologia da informação de uso interno,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",STIC,14
9,Desenvolve sites para campanhas e casos de atuação do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",STIC,12
10,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,['INOVA'],STIC,1
11,Difunde inovação e boas práticas sobre administração pública,['IEP'],STIC,1
12,Dissemina conhecimento,['CADG'],STIC,1
13,Dá suporte ou faz a aquisição de produtos de TIC institucionais,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'INOVA', 'INOVA']",STIC,12
14,Dá suporte técnico a casos concretos de atuação do MPRJ,['IEP'],STIC,1
15,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",STIC,14
16,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",STIC,13
17,Faz experimentos,"['STIC', 'STIC', 'CSI']",STIC,3
18,Gerencia bancos de dados com informações sensíveis e sigilosas,"['STIC', 'STIC', 'INOVA', 'INOVA']",STIC,4
19,Implementa programa de segurança da informação,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",STIC,12
20,Implementa programa e medidas de proteção de dados em poder do MPRJ,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'IEP', 'IEP', 'INOVA']",STIC,10
21,Oferece consultoria técnica,['STIC'],STIC,1
22,Potencializa o impacto social do MPRJ,"['CADG', 'STIC']",STIC,2
23,Produz conhecimento com análise crítica,['CADG'],STIC,1
24,Promove a atuação sistêmica do MPRJ,['STIC'],STIC,1
25,Promove e organiza a gestão do conhecimento técnico do MPRJ,['CADG'],STIC,1
0,Apoia os CAOs e grupos,"['CADG', 'GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",CSI,7
1,Avalia a efetividade das políticas públicas,['CSI'],CSI,1
2,"Coleta, analisa e sistematiza dados internos e externos georreferenciados","['CSI', 'CSI']",CSI,2
3,"Coleta, trata, guarda e disponibiliza dados internos e externos","['CSI', 'CSI']",CSI,2
4,Desenvolve sistemas de tecnologia da informação de uso interno,['CSI'],CSI,1
5,Desenvolve visualizações estáticas e interativas de dados processados,['CSI'],CSI,1
6,Difunde a cultura e métodos de ideação e inovação,['CSI'],CSI,1
7,Difunde informação de interesse social a partir da coleta e análise de dados,['CSI'],CSI,1
8,Dissemina conhecimento,"['CADG', 'CSI', 'CSI']",CSI,3
9,Dá suporte ou faz a aquisição de produtos de TIC institucionais,['CSI'],CSI,1
10,Dá suporte técnico a casos concretos de atuação do MPRJ,"['GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA', 'INOVA']",CSI,7
11,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ,"['GATE', 'IEP']",CSI,2
12,Estimula a criação de rede de atores internos e externos,['CSI'],CSI,1
13,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,['CSI'],CSI,1
14,Faz experimentos,"['STIC', 'STIC', 'CSI', 'CSI']",CSI,4
15,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CSI'],CSI,1
16,Gerencia bancos de dados com informações sensíveis e sigilosas,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CSI,14
17,Identifica problemas públicos relevantes,['CSI'],CSI,1
18,Implementa programa de segurança da informação,"['STIC', 'CSI', 'CSI']",CSI,3
19,Implementa programa e medidas de proteção de dados em poder do MPRJ,"['CADG', 'CENPE', 'CSI', 'IEP']",CSI,4
20,Monitora dados relativos a presos e organizações criminosas,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CSI,14
21,Oferece consultoria técnica,"['STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",CSI,5
22,Potencializa o impacto social do MPRJ,['CADG'],CSI,1
23,Produz conhecimento com análise crítica,"['CSI', 'CSI']",CSI,2
24,Promove e fomenta análises interdisciplinares,['CSI'],CSI,1
25,Prospecta no Brasil e no mundo tendências e iniciativas de inovação,['CSI'],CSI,1
26,Usa ferramentas de ciências de dados para o suporte a investigações criminais,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CSI,12
0,Apoia os CAOs e grupos,"['CADG', 'GATE']",IEP,2
1,Contribuição para a eleição de prioridades de atuação do MPRJ,['CENPE'],IEP,1
2,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ,['IEP'],IEP,1
3,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,"['CADG', 'CENPE', 'GATE', 'STIC', 'CSI', 'IEP', 'IEP']",IEP,7
4,Difunde inovação e boas práticas sobre administração pública,"['STIC', 'IEP', 'IEP']",IEP,3
5,Dissemina conhecimento,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",IEP,13
6,Elabora diagnósticos de órgãos do Ministério Público,['CSI'],IEP,1
7,Estimula a criação de rede de atores internos e externos,"['CSI', 'IEP', 'IEP', 'INOVA']",IEP,4
8,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['GATE', 'CSI', 'IEP', 'IEP']",IEP,4
9,Faz experimentos,"['STIC', 'STIC']",IEP,2
10,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CENPE'],IEP,1
11,"Fomenta inovação, transparência, inclusão e participação na gestão pública","['CADG', 'IEP']",IEP,2
12,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa,"['CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA']",IEP,11
13,Oferece o apoio pedagógico e logístico às ações treinamento,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",IEP,14
14,Potencializa o impacto social do MPRJ,"['CADG', 'CSI', 'IEP']",IEP,3
15,Produz conhecimento com análise crítica,"['CENPE', 'IEP', 'IEP']",IEP,3
